SID,LID,FullName,DemRateUrban,DemRateRural,RetRateCom,RetRateFinalCom,RetRateRes,RetRateFinalRes,RetRateFinalYear,MaxRet,FAPCInitialYear,uSFInitial,uSFFinal,rSFInitial,rSFFinal,MFInitial,MFFinal,SlumInitial,SlumFinal,Factor,FAPGInitialYear,CGDPInitial,CGDPFinal,Adj
2,35,Netherlands,0.005,0.005,2.50%,3.00%,0.90%,3.00%,2027,92.00%,2016,50.53507952,52.3,50.53507952,52.3,41.52971639,35.4,0,0,1,2013,336.2,868,1
2,36,Poland,0.005,0.005,2.60%,3.00%,1.50%,3.00%,2027,92.00%,2016,31.27006877,52.3,31.27006877,52.3,23.99581656,35.4,0,0,1,2013,735.13,868,1
2,37,Portugal,0.005,0.005,5.90%,5.90%,1.40%,3.00%,2027,92.00%,2016,45.93427083,52.3,45.93427083,52.3,34.27497934,35.4,0,0,1,2013,454.2,868,1
2,38,Romania,0.005,0.005,2.30%,3.00%,1.40%,3.00%,2027,92.00%,2016,17.66398743,52.3,17.66398743,52.3,17.26404445,35.4,0,0,1,2013,310.76,868,1
2,39,Slovakia,0.005,0.005,3.90%,3.90%,1.10%,3.00%,2027,92.00%,2016,41.20340936,52.3,41.20340936,52.3,22.59449932,35.4,0,0,1,2013,386.44,868,1
2,40,Slovenia,0.005,0.005,1.80%,3.00%,1.40%,3.00%,2027,92.00%,2016,34.63025808,52.3,34.63025808,52.3,25.80900155,35.4,0,0,1,2013,568.63,868,1
2,41,Sweden,0.005,0.005,2.30%,3.00%,0.80%,3.00%,2027,92.00%,2016,58.3559271,52.3,58.3559271,52.3,37.62641764,35.4,0,0,1,2013,260.85,868,1
2,42,Croatia,0.005,0.005,1.30%,3.00%,1.60%,3.00%,2027,92.00%,2016,59.34016851,52.3,59.34016851,52.3,34.99903978,35.4,0,0,1,2013,554.63,868,1
3,15,Austria,0.005,0.005,0.80%,0.80%,1.90%,1.90%,2027,92.00%,2016,50.00398821,52.3,50.00398821,52.3,34.35311183,35.4,0,0,1,2013,265.82,868,1
3,16,Belgium,0.005,0.005,7.00%,7.00%,1.20%,1.20%,2027,92.00%,2016,56.0809863,52.3,56.0809863,52.3,43.21492625,35.4,0,0,1,2013,200.85,868,1
3,17,Bulgaria,0.005,0.005,5.90%,5.90%,1.40%,1.40%,2027,92.00%,2016,28.18335163,52.3,28.18335163,52.3,26.58811195,35.4,0,0,1,2013,1149.18,868,1
3,18,Cyprus,0.005,0.005,8.70%,8.70%,2.40%,2.40%,2027,92.00%,2016,40.17823613,52.3,40.17823613,52.3,30.11740335,35.4,0,0,1,2013,324.76,868,1
3,19,Czech Republic,0.005,0.005,1.80%,1.80%,1.70%,1.70%,2027,92.00%,2016,37.18508087,52.3,37.18508087,52.3,28.05269231,35.4,0,0,1,2013,423.77,868,1
3,20,Germany,0.005,0.005,1.50%,1.50%,1.00%,1.00%,2027,92.00%,2016,66.481921,52.3,66.481921,52.3,31.80211439,35.4,0,0,1,2013,295.83,868,1
3,21,Denmark,0.005,0.005,1.40%,1.40%,0.60%,0.60%,2027,92.00%,2016,63.16241953,52.3,63.16241953,52.3,49.0784177,35.4,0,0,1,2013,356.53,868,1
3,22,Spain,0.005,0.005,3.40%,3.40%,2.00%,2.00%,2027,92.00%,2016,47.19782565,52.3,47.19782565,52.3,33.35050867,35.4,0,0,1,2013,258.35,868,1
3,23,Estonia,0.005,0.005,1.00%,1.00%,0.80%,0.80%,2027,92.00%,2016,38.84920721,52.3,38.84920721,52.3,27.81936244,35.4,0,0,1,2013,475.56,868,1
3,24,Finland,0.005,0.005,1.60%,1.60%,0.30%,0.30%,2027,92.00%,2016,46.38410304,52.3,46.38410304,52.3,36.05215318,35.4,0,0,1,2013,394.86,868,1
3,25,France,0.005,0.005,1.60%,1.60%,1.20%,1.20%,2027,92.00%,2016,43.31645359,52.3,43.31645359,52.3,34.9808615,35.4,0,0,1,2013,322.79,868,1
3,26,United Kingdom,0.005,0.005,2.80%,2.80%,1.20%,1.20%,2027,92.00%,2016,52.47474301,52.3,52.47474301,52.3,53.97767368,35.4,0,0,1,2013,264.21,868,1
3,27,Greece,0.005,0.005,3.30%,3.30%,1.30%,1.30%,2027,92.00%,2016,34.86315534,52.3,34.86315534,52.3,34.45741587,35.4,0,0,1,2013,583.59,868,1
3,28,Hungary,0.005,0.005,2.00%,2.00%,1.00%,1.00%,2027,92.00%,2016,32.72416444,52.3,32.72416444,52.3,24.59317569,35.4,0,0,1,2013,729.29,868,1
3,29,Ireland,0.005,0.005,0.50%,0.50%,0.70%,0.70%,2027,92.00%,2016,31.46056068,52.3,31.46056068,52.3,16.88130693,35.4,0,0,1,2013,181.03,868,1
3,30,Italy,0.005,0.005,5.50%,5.50%,1.80%,1.80%,2027,92.00%,2016,47.5133691,52.3,47.5133691,52.3,34.99903978,35.4,0,0,1,2013,194.23,868,1
3,31,Lithuania,0.005,0.005,0.80%,0.80%,0.90%,0.90%,2027,92.00%,2016,44.86630695,52.3,44.86630695,52.3,22.69783846,35.4,0,0,1,2013,356.89,868,1
3,32,Luxembourg,0.005,0.005,1.00%,1.00%,0.50%,0.50%,2027,92.00%,2016,90.08140077,52.3,90.08140077,52.3,24.25668266,35.4,0,0,1,2013,306.42,868,1
3,33,Latvia,0.005,0.005,1.60%,1.60%,0.90%,0.90%,2027,92.00%,2016,47.5133691,52.3,47.5133691,52.3,34.99903978,35.4,0,0,1,2013,306.42,868,1
3,34,Malta,0.005,0.005,2.30%,2.30%,0.70%,0.70%,2027,92.00%,2016,79.63197838,52.3,79.63197838,52.3,43.1937047,35.4,0,0,1,2013,393.03,868,1
3,35,Netherlands,0.005,0.005,2.50%,2.50%,0.90%,0.90%,2027,92.00%,2016,50.53507952,52.3,50.53507952,52.3,41.52971639,35.4,0,0,1,2013,336.2,868,1
3,36,Poland,0.005,0.005,2.60%,2.60%,1.50%,1.50%,2027,92.00%,2016,31.27006877,52.3,31.27006877,52.3,23.99581656,35.4,0,0,1,2013,735.13,868,1
3,37,Portugal,0.005,0.005,5.90%,5.90%,1.40%,1.40%,2027,92.00%,2016,45.93427083,52.3,45.93427083,52.3,34.27497934,35.4,0,0,1,2013,454.2,868,1
3,38,Romania,0.005,0.005,2.30%,2.30%,1.40%,1.40%,2027,92.00%,2016,17.66398743,52.3,17.66398743,52.3,17.26404445,35.4,0,0,1,2013,310.76,868,1
3,39,Slovakia,0.005,0.005,3.90%,3.90%,1.10%,1.10%,2027,92.00%,2016,41.20340936,52.3,41.20340936,52.3,22.59449932,35.4,0,0,1,2013,386.44,868,1
3,40,Slovenia,0.005,0.005,1.80%,1.80%,1.40%,1.40%,2027,92.00%,2016,34.63025808,52.3,34.63025808,52.3,25.80900155,35.4,0,0,1,2013,568.63,868,1
3,41,Sweden,0.005,0.005,2.30%,2.30%,0.80%,0.80%,2027,92.00%,2016,58.3559271,52.3,58.3559271,52.3,37.62641764,35.4,0,0,1,2013,260.85,868,1
3,42,Croatia,0.005,0.005,1.30%,1.30%,1.60%,1.60%,2027,92.00%,2016,59.34016851,52.3,59.34016851,52.3,34.99903978,35.4,0,0,1,2013,554.63,868,1
4,15,Austria,0.005,0.005,0.80%,3.00%,1.90%,3.00%,2027,92.00%,2016,50.00398821,52.3,50.00398821,52.3,34.35311183,35.4,0,0,1,2013,265.82,868,1
4,16,Belgium,0.005,0.005,7.00%,7.00%,1.20%,3.00%,2027,92.00%,2016,56.0809863,52.3,56.0809863,52.3,43.21492625,35.4,0,0,1,2013,200.85,868,1
4,17,Bulgaria,0.005,0.005,5.90%,5.90%,1.40%,3.00%,2027,92.00%,2016,28.18335163,52.3,28.18335163,52.3,26.58811195,35.4,0,0,1,2013,1149.18,868,1
4,18,Cyprus,0.005,0.005,8.70%,8.70%,2.40%,3.00%,2027,92.00%,2016,40.17823613,52.3,40.17823613,52.3,30.11740335,35.4,0,0,1,2013,324.76,868,1
4,19,Czech Republic,0.005,0.005,1.80%,3.00%,1.70%,3.00%,2027,92.00%,2016,37.18508087,52.3,37.18508087,52.3,28.05269231,35.4,0,0,1,2013,423.77,868,1
4,20,Germany,0.005,0.005,1.50%,3.00%,1.00%,3.00%,2027,92.00%,2016,66.481921,52.3,66.481921,52.3,31.80211439,35.4,0,0,1,2013,295.83,868,1
4,21,Denmark,0.005,0.005,1.40%,3.00%,0.60%,3.00%,2027,92.00%,2016,63.16241953,52.3,63.16241953,52.3,49.0784177,35.4,0,0,1,2013,356.53,868,1
4,22,Spain,0.005,0.005,3.40%,3.40%,2.00%,3.00%,2027,92.00%,2016,47.19782565,52.3,47.19782565,52.3,33.35050867,35.4,0,0,1,2013,258.35,868,1
4,23,Estonia,0.005,0.005,1.00%,3.00%,0.80%,3.00%,2027,92.00%,2016,38.84920721,52.3,38.84920721,52.3,27.81936244,35.4,0,0,1,2013,475.56,868,1
4,24,Finland,0.005,0.005,1.60%,3.00%,0.30%,3.00%,2027,92.00%,2016,46.38410304,52.3,46.38410304,52.3,36.05215318,35.4,0,0,1,2013,394.86,868,1
4,25,France,0.005,0.005,1.60%,3.00%,1.20%,3.00%,2027,92.00%,2016,43.31645359,52.3,43.31645359,52.3,34.9808615,35.4,0,0,1,2013,322.79,868,1
4,26,United Kingdom,0.005,0.005,2.80%,3.00%,1.20%,3.00%,2027,92.00%,2016,52.47474301,52.3,52.47474301,52.3,53.97767368,35.4,0,0,1,2013,264.21,868,1
4,27,Greece,0.005,0.005,3.30%,3.30%,1.30%,3.00%,2027,92.00%,2016,34.86315534,52.3,34.86315534,52.3,34.45741587,35.4,0,0,1,2013,583.59,868,1
4,28,Hungary,0.005,0.005,2.00%,3.00%,1.00%,3.00%,2027,92.00%,2016,32.72416444,52.3,32.72416444,52.3,24.59317569,35.4,0,0,1,2013,729.29,868,1
4,29,Ireland,0.005,0.005,0.50%,3.00%,0.70%,3.00%,2027,92.00%,2016,31.46056068,52.3,31.46056068,52.3,16.88130693,35.4,0,0,1,2013,181.03,868,1
4,30,Italy,0.005,0.005,5.50%,5.50%,1.80%,3.00%,2027,92.00%,2016,47.5133691,52.3,47.5133691,52.3,34.99903978,35.4,0,0,1,2013,194.23,868,1
4,31,Lithuania,0.005,0.005,0.80%,3.00%,0.90%,3.00%,2027,92.00%,2016,44.86630695,52.3,44.86630695,52.3,22.69783846,35.4,0,0,1,2013,356.89,868,1
4,32,Luxembourg,0.005,0.005,1.00%,3.00%,0.50%,3.00%,2027,92.00%,2016,90.08140077,52.3,90.08140077,52.3,24.25668266,35.4,0,0,1,2013,306.42,868,1
4,33,Latvia,0.005,0.005,1.60%,3.00%,0.90%,3.00%,2027,92.00%,2016,47.5133691,52.3,47.5133691,52.3,34.99903978,35.4,0,0,1,2013,306.42,868,1
4,34,Malta,0.005,0.005,2.30%,3.00%,0.70%,3.00%,2027,92.00%,2016,79.63197838,52.3,79.63197838,52.3,43.1937047,35.4,0,0,1,2013,393.03,868,1
4,35,Netherlands,0.005,0.005,2.50%,3.00%,0.90%,3.00%,2027,92.00%,2016,50.53507952,52.3,50.53507952,52.3,41.52971639,35.4,0,0,1,2013,336.2,868,1
4,36,Poland,0.005,0.005,2.60%,3.00%,1.50%,3.00%,2027,92.00%,2016,31.27006877,52.3,31.27006877,52.3,23.99581656,35.4,0,0,1,2013,735.13,868,1
4,37,Portugal,0.005,0.005,5.90%,5.90%,1.40%,3.00%,2027,92.00%,2016,45.93427083,52.3,45.93427083,52.3,34.27497934,35.4,0,0,1,2013,454.2,868,1
4,38,Romania,0.005,0.005,2.30%,3.00%,1.40%,3.00%,2027,92.00%,2016,17.66398743,52.3,17.66398743,52.3,17.26404445,35.4,0,0,1,2013,310.76,868,1
4,39,Slovakia,0.005,0.005,3.90%,3.90%,1.10%,3.00%,2027,92.00%,2016,41.20340936,52.3,41.20340936,52.3,22.59449932,35.4,0,0,1,2013,386.44,868,1
4,40,Slovenia,0.005,0.005,1.80%,3.00%,1.40%,3.00%,2027,92.00%,2016,34.63025808,52.3,34.63025808,52.3,25.80900155,35.4,0,0,1,2013,568.63,868,1
4,41,Sweden,0.005,0.005,2.30%,3.00%,0.80%,3.00%,2027,92.00%,2016,58.3559271,52.3,58.3559271,52.3,37.62641764,35.4,0,0,1,2013,260.85,868,1
4,42,Croatia,0.005,0.005,1.30%,3.00%,1.60%,3.00%,2027,92.00%,2016,59.34016851,52.3,59.34016851,52.3,34.99903978,35.4,0,0,1,2013,554.63,868,1
